Sample,File,Animal,Species,Population,Diet,Tissue,Sex
W396_C_S1,W396_C_S1.counts.tsv,W396,N_lepida,Cameron_Rd,PRFA,C,F
W396_FG_S30,W396_FG_S30.counts.tsv,W396,N_lepida,Cameron_Rd,PRFA,FG,F
W396_S105_L003,W396_S105_L003.counts.tsv,W396,N_lepida,Cameron_Rd,PRFA,L,F
W396_SI_S61,W396_SI_S61.counts.tsv,W396,N_lepida,Cameron_Rd,PRFA,SI,F
W397_C_S2,W397_C_S2.counts.tsv,W397,N_lepida,Cameron_Rd,RHCA,C,F
W397_FG_S35,W397_FG_S35.counts.tsv,W397,N_lepida,Cameron_Rd,RHCA,FG,F
W397_S104_L003,W397_S104_L003.counts.tsv,W397,N_lepida,Cameron_Rd,RHCA,L,F
W397_SI_S49,W397_SI_S49.counts.tsv,W397,N_lepida,Cameron_Rd,RHCA,SI,F
W398_C_S3,W398_C_S3.counts.tsv,W398,N_bryanti,Erskine_Creek,RHCA,C,M
W398_FG_S75,W398_FG_S75.counts.tsv,W398,N_bryanti,Erskine_Creek,RHCA,FG,M
W398_S111_L003,W398_S111_L003.counts.tsv,W398,N_bryanti,Erskine_Creek,RHCA,L,M
W398_SI_S66,W398_SI_S66.counts.tsv,W398,N_bryanti,Erskine_Creek,RHCA,SI,M
W477_C_S8,W477_C_S8.counts.tsv,W477,N_bryanti,Kernville_Canyon,PRFA,C,M
W477_FG_S73,W477_FG_S73.counts.tsv,W477,N_bryanti,Kernville_Canyon,PRFA,FG,M
W477_S98_L003,W477_S98_L003.counts.tsv,W477,N_bryanti,Kernville_Canyon,PRFA,L,M
W477_SI_S51,W477_SI_S51.counts.tsv,W477,N_bryanti,Kernville_Canyon,PRFA,SI,M
W478_C_S7,W478_C_S7.counts.tsv,W478,N_lepida,Pine_Tree_cyn,RHCA,C,F
W478_FG_S80,W478_FG_S80.counts.tsv,W478,N_lepida,Pine_Tree_cyn,RHCA,FG,F
W478_S109_L003,W478_S109_L003.counts.tsv,W478,N_lepida,Pine_Tree_cyn,RHCA,L,F
W478_SI_S84,W478_SI_S84.counts.tsv,W478,N_lepida,Pine_Tree_cyn,RHCA,SI,F
W479_C_S4,W479_C_S4.counts.tsv,W479,N_lepida,Pine_Tree_cyn,RHCA,C,M
W479_FG_S78,W479_FG_S78.counts.tsv,W479,N_lepida,Pine_Tree_cyn,RHCA,FG,M
W479_S101_L003,W479_S101_L003.counts.tsv,W479,N_lepida,Pine_Tree_cyn,RHCA,L,M
W479_SI_S52,W479_SI_S52.counts.tsv,W479,N_lepida,Pine_Tree_cyn,RHCA,SI,M
W480_C_S5,W480_C_S5.counts.tsv,W480,N_lepida,Pine_Tree_cyn,PRFA,C,M
W480_FG_S79,W480_FG_S79.counts.tsv,W480,N_lepida,Pine_Tree_cyn,PRFA,FG,M
W480_S116_L003,W480_S116_L003.counts.tsv,W480,N_lepida,Pine_Tree_cyn,PRFA,L,M
W480_SI_S60,W480_SI_S60.counts.tsv,W480,N_lepida,Pine_Tree_cyn,PRFA,SI,M
W481_C_S6,W481_C_S6.counts.tsv,W481,N_lepida,Pine_Tree_cyn,PRFA,C,M
W481_FG_S31,W481_FG_S31.counts.tsv,W481,N_lepida,Pine_Tree_cyn,PRFA,FG,M
W481_S110_L003,W481_S110_L003.counts.tsv,W481,N_lepida,Pine_Tree_cyn,PRFA,L,M
W481_SI_S57,W481_SI_S57.counts.tsv,W481,N_lepida,Pine_Tree_cyn,PRFA,SI,M
W484_C_S13,W484_C_S13.counts.tsv,W484,N_bryanti,Kernville_Canyon,RHCA,C,M
W484_FG_S72,W484_FG_S72.counts.tsv,W484,N_bryanti,Kernville_Canyon,RHCA,FG,M
W484_S102_L003,W484_S102_L003.counts.tsv,W484,N_bryanti,Kernville_Canyon,RHCA,L,M
W484_SI_S63,W484_SI_S63.counts.tsv,W484,N_bryanti,Kernville_Canyon,RHCA,SI,M
W486_C_S11,W486_C_S11.counts.tsv,W486,N_bryanti,Kernville_Canyon,PRFA,C,M
W486_FG_S83,W486_FG_S83.counts.tsv,W486,N_bryanti,Kernville_Canyon,PRFA,FG,M
W486_S107_L003,W486_S107_L003.counts.tsv,W486,N_bryanti,Kernville_Canyon,PRFA,L,M
W486_SI_S86,W486_SI_S86.counts.tsv,W486,N_bryanti,Kernville_Canyon,PRFA,SI,M
W489_C_S9,W489_C_S9.counts.tsv,W489,N_lepida,Pine_Tree_cyn,RHCA,C,M
W489_FG_S33,W489_FG_S33.counts.tsv,W489,N_lepida,Pine_Tree_cyn,RHCA,FG,M
W489_S115_L003,W489_S115_L003.counts.tsv,W489,N_lepida,Pine_Tree_cyn,RHCA,L,M
W489_SI_S59,W489_SI_S59.counts.tsv,W489,N_lepida,Pine_Tree_cyn,RHCA,SI,M
W490_C_S10,W490_C_S10.counts.tsv,W490,N_lepida,Pine_Tree_cyn,PRFA,C,M
W490_FG_S43,W490_FG_S43.counts.tsv,W490,N_lepida,Pine_Tree_cyn,PRFA,FG,M
W490_S103_L003,W490_S103_L003.counts.tsv,W490,N_lepida,Pine_Tree_cyn,PRFA,L,M
W490_SI_S67,W490_SI_S67.counts.tsv,W490,N_lepida,Pine_Tree_cyn,PRFA,SI,M
W491_C_S14,W491_C_S14.counts.tsv,W491,N_lepida,Pine_Tree_cyn,RHCA,C,M
W491_FG_S42,W491_FG_S42.counts.tsv,W491,N_lepida,Pine_Tree_cyn,RHCA,FG,M
W491_S100_L003,W491_S100_L003.counts.tsv,W491,N_lepida,Pine_Tree_cyn,RHCA,L,M
W491_SI_S58,W491_SI_S58.counts.tsv,W491,N_lepida,Pine_Tree_cyn,RHCA,SI,M
W492_C_S12,W492_C_S12.counts.tsv,W492,N_lepida,Pine_Tree_cyn,PRFA,C,M
W492_FG_S37,W492_FG_S37.counts.tsv,W492,N_lepida,Pine_Tree_cyn,PRFA,FG,M
W492_S108_L003,W492_S108_L003.counts.tsv,W492,N_lepida,Pine_Tree_cyn,PRFA,L,M
W492_SI_S53,W492_SI_S53.counts.tsv,W492,N_lepida,Pine_Tree_cyn,PRFA,SI,M
W542_C_S17,W542_C_S17.counts.tsv,W542,N_bryanti,Erskine_Creek,PRFA,C,M
W542_FG_S32,W542_FG_S32.counts.tsv,W542,N_bryanti,Erskine_Creek,PRFA,FG,M
W542_S113_L003,W542_S113_L003.counts.tsv,W542,N_bryanti,Erskine_Creek,PRFA,L,M
W542_SI_S69,W542_SI_S69.counts.tsv,W542,N_bryanti,Erskine_Creek,PRFA,SI,M
W543_C_S15,W543_C_S15.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,C,F
W543_FG_S74,W543_FG_S74.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,FG,F
W543_S99_L003,W543_S99_L003.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,L,F
W543_SI_S55,W543_SI_S55.counts.tsv,W543,N_bryanti,Erskine_Creek,RHCA,SI,F
W544_C_S16,W544_C_S16.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,C,F
W544_FG_S87,W544_FG_S87.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,FG,F
W544_S112_L003,W544_S112_L003.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,L,F
W544_SI_S62,W544_SI_S62.counts.tsv,W544,N_bryanti,Erskine_Creek,PRFA,SI,F
W546_C_S19,W546_C_S19.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,C,F
W546_FG_S38,W546_FG_S38.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,FG,F
W546_S114_L003,W546_S114_L003.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,L,F
W546_SI_S47,W546_SI_S47.counts.tsv,W546,N_bryanti,Erskine_Creek,RHCA,SI,F
W547_C_S18,W547_C_S18.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,C,F
W547_FG_S41,W547_FG_S41.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,FG,F
W547_S106_L003,W547_S106_L003.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,L,F
W547_SI_S48,W547_SI_S48.counts.tsv,W547,N_bryanti,Erskine_Creek,RHCA,SI,F
W548_C_S21,W548_C_S21.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,C,F
W548_FG_S40,W548_FG_S40.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,FG,F
W548_S120_L003,W548_S120_L003.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,L,F
W548_SI_S44,W548_SI_S44.counts.tsv,W548,N_bryanti,Erskine_Creek,PRFA,SI,F
W549_C_S20,W549_C_S20.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,C,M
W549_FG_S77,W549_FG_S77.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,FG,M
W549_S93_L003,W549_S93_L003.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,L,M
W549_SI_S65,W549_SI_S65.counts.tsv,W549,N_bryanti,Erskine_Creek,RHCA,SI,M
W550_C_S23,W550_C_S23.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,C,F
W550_FG_S39,W550_FG_S39.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,FG,F
W550_S95_L003,W550_S95_L003.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,L,F
W550_SI_S50,W550_SI_S50.counts.tsv,W550,N_bryanti,Erskine_Creek,PRFA,SI,F
W551_C_S22,W551_C_S22.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,C,F
W551_FG_S76,W551_FG_S76.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,FG,F
W551_S117_L003,W551_S117_L003.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,L,F
W551_SI_S54,W551_SI_S54.counts.tsv,W551,N_bryanti,Erskine_Creek,RHCA,SI,F
W552_C_S25,W552_C_S25.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,C,M
W552_FG_S71,W552_FG_S71.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,FG,M
W552_S96_L003,W552_S96_L003.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,L,M
W552_SI_S64,W552_SI_S64.counts.tsv,W552,N_bryanti,Erskine_Creek,PRFA,SI,M
W554_C_S24,W554_C_S24.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,C,F
W554_FG_S70,W554_FG_S70.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,FG,F
W554_S118_L003,W554_S118_L003.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,L,F
W554_SI_S45,W554_SI_S45.counts.tsv,W554,N_bryanti,Erskine_Creek,PRFA,SI,F
W614_C_S26,W614_C_S26.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,C,M
W614_FG_S82,W614_FG_S82.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,FG,M
W614_S119_L003,W614_S119_L003.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,L,M
W614_SI_S68,W614_SI_S68.counts.tsv,W614,N_lepida,Pine_Tree_cyn,RHCA,SI,M
W615_C_S28,W615_C_S28.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,C,F
W615_FG_S36,W615_FG_S36.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,FG,F
W615_S94_L003,W615_S94_L003.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,L,F
W615_SI_S46,W615_SI_S46.counts.tsv,W615,N_lepida,Pine_Tree_cyn,RHCA,SI,F
W616_C_S29,W616_C_S29.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,C,F
W616_FG_S81,W616_FG_S81.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,FG,F
W616_S97_L003,W616_S97_L003.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,L,F
W616_SI_S56,W616_SI_S56.counts.tsv,W616,N_lepida,Cameron_Rd,PRFA,SI,F
W617_C_S27,W617_C_S27.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,C,F
W617_FG_S34,W617_FG_S34.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,FG,F
W617_S121_L003,W617_S121_L003.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,L,F
W617_SI_S85,W617_SI_S85.counts.tsv,W617,N_lepida,Cameron_Rd,PRFA,SI,F